zdjecie,product_id,old_name,new_name,collection,old_sku,old_sku_variants,old_regular_price,old_live_price,new_regular_price,new_live_price,lowest_price_30d,discount_pct,category,gender,shape,polarized,frame_colors,stock_status,total_sales,image_live_url,new_url
"=IMAGE(""https://goya-eight.vercel.app/products/587_2.jpg"")",243882,G 2622 C4,Adelfa,City,Goya G 2622 C4,,109.0,76.3,349,349,,0,Korekcyjne,Damskie,Prostokątne,nie,"Fioletowy, Różowy",instock,4,https://goya-eight.vercel.app/products/587_2.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2622-c4
"=IMAGE(""https://goya-eight.vercel.app/products/3150_6.jpg"")",245743,G 182,Aire,Coast,,GOYA G 182 ZX; Goya G 182 BR; Goya G 182 CZ,149,104.3,449,449,,0,Przeciwsłoneczne,Damskie,Muchy,tak,"Brązowy, Czarny, Transparentny",instock,10,https://goya-eight.vercel.app/products/3150_6.jpg,https://goya-eight.vercel.app/okulary/goya-g-182-zx-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/G_55004_BR_A.jpg"")",334136,G 55004 BR,Alba,Coast,G 55004 BR - C3,,179.0,125.3,499,499,,0,Przeciwsłoneczne,Damskie,Aviator,tak,Brązowy,instock,2,https://goya-eight.vercel.app/products/G_55004_BR_A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55004-br
"=IMAGE(""https://goya-eight.vercel.app/products/575_6.jpg"")",243957,okulary korekcyjne G 2742 C2,Alma,City,Goya G 2742 C2,,109.0,76.3,349,349,,0,Korekcyjne,Damskie,Prostokątne,nie,Fioletowy,instock,0,https://goya-eight.vercel.app/products/575_6.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2742-c2
"=IMAGE(""https://goya-eight.vercel.app/products/3119_1.jpg"")",245464,G 205,Almendra,Coast,,Goya G 205 Z; Goya G 205 BR,149,104.3,449,449,,0,Przeciwsłoneczne,Damskie,Kocie,tak,"Brązowy, Fioletowy, Zielony",instock,13,https://goya-eight.vercel.app/products/3119_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-205-z-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/974_3.jpg"")",244646,G1923 C1,Almería,Coast,GOYA G1923 C1,,109.0,76.3,349,349,,0,Przeciwsłoneczne,Unisex,Aviator,tak,Złoty,instock,4,https://goya-eight.vercel.app/products/974_3.jpg,https://goya-eight.vercel.app/okulary/goya-g1923-c1-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/625_4.jpg"")",243994,G 89020,Altea,City,,Goya G 89020 C4; Goya G 89020 C5,159,111.3,449,449,,0,Korekcyjne,Unisex,Kwadratowe,nie,"Czarny, Granatowy, Niebieski",instock,0,https://goya-eight.vercel.app/products/625_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-89020-c4
"=IMAGE(""https://goya-eight.vercel.app/products/194_1.jpg"")",243742,G 15217,Amapola,Coast,,Goya G 15217 CZ; Goya G 15217 ZX,109,76.3,349,349,,0,Przeciwsłoneczne,Damskie,Kocie,tak,"Czarny, Wielokolorowy, Złoty",instock,58,https://goya-eight.vercel.app/products/194_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-15217-cz-okulary-przeciwsloneczne-kocie-oczy-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/667_4.jpg"")",244300,G 94312 C1,Ancla,City,Goya G 94312 C1,,159.0,111.3,449,449,,0,Korekcyjne,Męskie,Prostokątne,nie,"Czarny, Szary",instock,0,https://goya-eight.vercel.app/products/667_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-94312-c1
"=IMAGE(""https://goya-eight.vercel.app/products/GOYA-CJ1943-P-A.jpg"")",256121,CJ 1943,Arena,City,,GOYA CJ 1943 CZ; GOYA CJ 1943 P,179,125.3,499,499,,0,Przeciwsłoneczne,Męskie,Nerdy,tak,Czarny,instock,10,https://goya-eight.vercel.app/products/GOYA-CJ1943-P-A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-cj-1943
"=IMAGE(""https://goya-eight.vercel.app/products/610_4.jpg"")",243941,okulary korekcyjne G 2694 C1,Astro,Weekend,Goya G 2694 C1,,109.0,76.3,349,349,,0,Korekcyjne,Damskie,Okrągłe,nie,Czarny,outofstock,0,https://goya-eight.vercel.app/products/610_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2694-c1
"=IMAGE(""https://goya-eight.vercel.app/products/575_6.jpg"")",243956,okulary korekcyjne G 2742 C4,Aura,City,Goya G 2742 C4,,109.0,76.3,349,349,,0,Korekcyjne,Damskie,Prostokątne,nie,"Czerwony, Fioletowy",instock,0,https://goya-eight.vercel.app/products/575_6.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2742-c4
"=IMAGE(""https://goya-eight.vercel.app/products/G_55029_CZ_A.jpg"")",337402,G 55029 CZ,Aurora,Coast,G 55029 CZ - C1,,179.0,125.3,499,499,,0,Przeciwsłoneczne,Damskie,Aviator,tak,Czarny,instock,9,https://goya-eight.vercel.app/products/G_55029_CZ_A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55029-cz
"=IMAGE(""https://goya-eight.vercel.app/products/3124_1.jpg"")",245502,G 196 BR,Avellana,Coast,GOYA G 196 BR,,149.0,104.3,449,449,,0,Przeciwsłoneczne,Damskie,Muchy,tak,"Brązowy, Złoty",instock,9,https://goya-eight.vercel.app/products/3124_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-196-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/689_4.jpg"")",244447,G 96514S C21,Azabache,Weekend,,Goya G 96514S C2; Goya G 96514S C1,109,76.3,349,349,,0,Przeciwsłoneczne,Damskie,Okrągłe,nie,"Czarny, Transparentny",instock,3,https://goya-eight.vercel.app/products/689_4.jpg,https://goya-eight.vercel.app/okulary/goya-g-96514s-c21-okulary-przeciwsloneczne
"=IMAGE(""https://goya-eight.vercel.app/products/prof-233.jpeg"")",237602,G 221,Azahar,City,G 221,,119.0,83.3,399,399,,0,Przeciwsłoneczne,Damskie,Nerdy,tak,Brązowy,instock,14,https://goya-eight.vercel.app/products/prof-233.jpeg,https://goya-eight.vercel.app/okulary/okulary-przeciwsloneczne-polaryzacyjne-kujonki-goya-g-221
"=IMAGE(""https://goya-eight.vercel.app/products/605_4.jpg"")",243919,G 2655 C1,Azucena,Coast,Goya G 2655 C1,,109.0,76.3,349,349,,0,Korekcyjne,Damskie,Kocie,nie,"Brązowy, Zielony, Żółty",instock,2,https://goya-eight.vercel.app/products/605_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2655-c1
"=IMAGE(""https://goya-eight.vercel.app/products/3136_1.jpg"")",245657,G 187,Añil,Coast,,GOYA G 187 CZ; Goya G 187 ZX; Goya G 187 BR,149,104.3,449,449,,0,Przeciwsłoneczne,Damskie,Muchy,tak,"Brązowy, Czarny, Szylkret",instock,6,https://goya-eight.vercel.app/products/3136_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-187-cz-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/G_55015_CZ_A.jpg"")",334606,G 55015 CZ,Bahía,City,G 55015 CZ - C1,,179.0,125.3,499,499,,0,Przeciwsłoneczne,Męskie,Nerdy,tak,Czarny,instock,3,https://goya-eight.vercel.app/products/G_55015_CZ_A.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55015-cz
"=IMAGE(""https://goya-eight.vercel.app/products/575_6.jpg"")",243978,okulary korekcyjne G 89087 C2,Begur,Weekend,Goya G 89087 C2,,159.0,111.3,449,449,,0,Korekcyjne,Unisex,Okrągłe,nie,"Czarny, Czerwony",instock,0,https://goya-eight.vercel.app/products/575_6.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-89087-c2
"=IMAGE(""https://goya-eight.vercel.app/products/649_4.jpg"")",244093,M 9004,Bella,Coast,,Goya M 9004 C1; Goya M 9004 C3; Goya M 9004 C4,159,111.3,449,449,,0,Korekcyjne,Damskie,Kocie,nie,"Czarny, Czerwony, Fioletowy, Srebrny, Złoty",instock,4,https://goya-eight.vercel.app/products/649_4.jpg,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-m-9004-c1
"=IMAGE(""https://goya-eight.vercel.app/products/3123_1.jpg"")",245493,G 199,Bravo,Coast,,GOYA G 199 GR; GOYA G 199 BR,149,104.3,449,449,,0,Przeciwsłoneczne,Męskie,Aviator,tak,"Brązowy, Grafitowy",instock,7,https://goya-eight.vercel.app/products/3123_1.jpg,https://goya-eight.vercel.app/okulary/goya-g-199-br-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
"=IMAGE(""https://goya-eight.vercel.app/products/3147_6.jpg"")",245722,G 183,Brisa,Weekend,,GOYA G 183 ZX; Goya G 183 BR; Goya G 183 CZ,149,104.3,449,449,,0,Przeciwsłoneczne,Damskie,Okrągłe,tak,"Brązowy, Czarny, Transparentny",instock,13,https://goya-eight.vercel.app/products/3147_6.jpg,https://goya-eight.vercel.app/okulary/goya-g-183-zx-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym
